"STATISTIC","Statistic","TLIST(A1)","CensusYear","C02779V03348","County","C02199V02655","Sex","UNIT","VALUE"
"E2001","Population at Each Census 1841 to 2016","1891","1891","02","Dublin","2","Female","Number","221807"
"E2001","Population at Each Census 1841 to 2016","1891","1891","03","Kildare","-","Both sexes","Number","70206"
"E2001","Population at Each Census 1841 to 2016","1891","1891","03","Kildare","1","Male","Number","38407"
"E2001","Population at Each Census 1841 to 2016","1891","1891","03","Kildare","2","Female","Number","31799"
"E2001","Population at Each Census 1841 to 2016","1891","1891","04","Kilkenny","-","Both sexes","Number","87261"
"E2001","Population at Each Census 1841 to 2016","1891","1891","04","Kilkenny","1","Male","Number","43468"
"E2001","Population at Each Census 1841 to 2016","1891","1891","04","Kilkenny","2","Female","Number","43793"
"E2001","Population at Each Census 1841 to 2016","1891","1891","05","Laois","-","Both sexes","Number","64883"
"E2001","Population at Each Census 1841 to 2016","1891","1891","05","Laois","1","Male","Number","33171"
"E2001","Population at Each Census 1841 to 2016","1891","1891","05","Laois","2","Female","Number","31712"
"E2001","Population at Each Census 1841 to 2016","1891","1891","06","Longford","-","Both sexes","Number","52647"
"E2001","Population at Each Census 1841 to 2016","1891","1891","06","Longford","1","Male","Number","26681"
"E2001","Population at Each Census 1841 to 2016","1891","1891","06","Longford","2","Female","Number","25966"
"E2001","Population at Each Census 1841 to 2016","1891","1891","07","Louth","-","Both sexes","Number","71038"
"E2001","Population at Each Census 1841 to 2016","1891","1891","07","Louth","1","Male","Number","35242"
"E2001","Population at Each Census 1841 to 2016","1891","1891","07","Louth","2","Female","Number","35796"
"E2001","Population at Each Census 1841 to 2016","1891","1891","08","Meath","-","Both sexes","Number","76987"
"E2001","Population at Each Census 1841 to 2016","1891","1891","08","Meath","1","Male","Number","39224"
"E2001","Population at Each Census 1841 to 2016","1891","1891","08","Meath","2","Female","Number","37763"
"E2001","Population at Each Census 1841 to 2016","1891","1891","09","Offaly","-","Both sexes","Number","65563"
"E2001","Population at Each Census 1841 to 2016","1891","1891","09","Offaly","1","Male","Number","33777"
"E2001","Population at Each Census 1841 to 2016","1891","1891","09","Offaly","2","Female","Number","31786"
"E2001","Population at Each Census 1841 to 2016","1891","1891","10","Westmeath","-","Both sexes","Number","65109"
"E2001","Population at Each Census 1841 to 2016","1891","1891","10","Westmeath","1","Male","Number","33927"
"E2001","Population at Each Census 1841 to 2016","1891","1891","10","Westmeath","2","Female","Number","31182"
"E2001","Population at Each Census 1841 to 2016","1891","1891","11","Wexford","-","Both sexes","Number","111778"
"E2001","Population at Each Census 1841 to 2016","1891","1891","11","Wexford","1","Male","Number","54935"
"E2001","Population at Each Census 1841 to 2016","1891","1891","11","Wexford","2","Female","Number","56843"
"E2001","Population at Each Census 1841 to 2016","1891","1891","12","Wicklow","-","Both sexes","Number","62136"
"E2001","Population at Each Census 1841 to 2016","1891","1891","12","Wicklow","1","Male","Number","31054"
"E2001","Population at Each Census 1841 to 2016","1891","1891","12","Wicklow","2","Female","Number","31082"
"E2001","Population at Each Census 1841 to 2016","1891","1891","13","Clare","-","Both sexes","Number","124483"
"E2001","Population at Each Census 1841 to 2016","1891","1891","13","Clare","1","Male","Number","63138"
"E2001","Population at Each Census 1841 to 2016","1891","1891","13","Clare","2","Female","Number","61345"
"E2001","Population at Each Census 1841 to 2016","1891","1891","14","Cork","-","Both sexes","Number","438432"
"E2001","Population at Each Census 1841 to 2016","1891","1891","14","Cork","1","Male","Number","219988"
"E2001","Population at Each Census 1841 to 2016","1891","1891","14","Cork","2","Female","Number","218444"
"E2001","Population at Each Census 1841 to 2016","1891","1891","15","Kerry","-","Both sexes","Number","179136"
"E2001","Population at Each Census 1841 to 2016","1891","1891","15","Kerry","1","Male","Number","91017"
"E2001","Population at Each Census 1841 to 2016","1891","1891","15","Kerry","2","Female","Number","88119"
"E2001","Population at Each Census 1841 to 2016","1891","1891","16","Limerick","-","Both sexes","Number","158912"
"E2001","Population at Each Census 1841 to 2016","1891","1891","16","Limerick","1","Male","Number","78607"
"E2001","Population at Each Census 1841 to 2016","1891","1891","16","Limerick","2","Female","Number","80305"
"E2001","Population at Each Census 1841 to 2016","1891","1891","17","Tipperary","-","Both sexes","Number","173188"
"E2001","Population at Each Census 1841 to 2016","1891","1891","17","Tipperary","1","Male","Number","86807"
"E2001","Population at Each Census 1841 to 2016","1891","1891","17","Tipperary","2","Female","Number","86381"
"E2001","Population at Each Census 1841 to 2016","1891","1891","18","Waterford","-","Both sexes","Number","98251"
"E2001","Population at Each Census 1841 to 2016","1891","1891","18","Waterford","1","Male","Number","48054"
"E2001","Population at Each Census 1841 to 2016","1891","1891","18","Waterford","2","Female","Number","50197"
"E2001","Population at Each Census 1841 to 2016","1891","1891","19","Galway","-","Both sexes","Number","214712"
"E2001","Population at Each Census 1841 to 2016","1891","1891","19","Galway","1","Male","Number","108283"
"E2001","Population at Each Census 1841 to 2016","1891","1891","19","Galway","2","Female","Number","106429"
"E2001","Population at Each Census 1841 to 2016","1891","1891","20","Leitrim","-","Both sexes","Number","78618"
"E2001","Population at Each Census 1841 to 2016","1891","1891","20","Leitrim","1","Male","Number","39715"
"E2001","Population at Each Census 1841 to 2016","1891","1891","20","Leitrim","2","Female","Number","38903"
"E2001","Population at Each Census 1841 to 2016","1891","1891","21","Mayo","-","Both sexes","Number","219034"
"E2001","Population at Each Census 1841 to 2016","1891","1891","21","Mayo","1","Male","Number","107498"
"E2001","Population at Each Census 1841 to 2016","1891","1891","21","Mayo","2","Female","Number","111536"
"E2001","Population at Each Census 1841 to 2016","1891","1891","22","Roscommon","-","Both sexes","Number","114397"
"E2001","Population at Each Census 1841 to 2016","1891","1891","22","Roscommon","1","Male","Number","58000"
"E2001","Population at Each Census 1841 to 2016","1891","1891","22","Roscommon","2","Female","Number","56397"
"E2001","Population at Each Census 1841 to 2016","1891","1891","23","Sligo","-","Both sexes","Number","98013"
"E2001","Population at Each Census 1841 to 2016","1891","1891","23","Sligo","1","Male","Number","48670"
"E2001","Population at Each Census 1841 to 2016","1891","1891","23","Sligo","2","Female","Number","49343"
"E2001","Population at Each Census 1841 to 2016","1891","1891","24","Cavan","-","Both sexes","Number","111917"
"E2001","Population at Each Census 1841 to 2016","1891","1891","24","Cavan","1","Male","Number","56772"
"E2001","Population at Each Census 1841 to 2016","1891","1891","24","Cavan","2","Female","Number","55145"
"E2001","Population at Each Census 1841 to 2016","1891","1891","25","Donegal","-","Both sexes","Number","185635"
"E2001","Population at Each Census 1841 to 2016","1891","1891","25","Donegal","1","Male","Number","91478"
"E2001","Population at Each Census 1841 to 2016","1891","1891","25","Donegal","2","Female","Number","94157"
"E2001","Population at Each Census 1841 to 2016","1891","1891","26","Monaghan","-","Both sexes","Number","86206"
"E2001","Population at Each Census 1841 to 2016","1891","1891","26","Monaghan","1","Male","Number","42727"
"E2001","Population at Each Census 1841 to 2016","1891","1891","26","Monaghan","2","Female","Number","43479"
"E2001","Population at Each Census 1841 to 2016","1901","1901","-","State","-","Both sexes","Number","3221823"
"E2001","Population at Each Census 1841 to 2016","1901","1901","-","State","1","Male","Number","1610085"
"E2001","Population at Each Census 1841 to 2016","1901","1901","-","State","2","Female","Number","1611738"
"E2001","Population at Each Census 1841 to 2016","1901","1901","01","Carlow","-","Both sexes","Number","37748"
"E2001","Population at Each Census 1841 to 2016","1901","1901","01","Carlow","1","Male","Number","19009"
"E2001","Population at Each Census 1841 to 2016","1901","1901","01","Carlow","2","Female","Number","18739"
"E2001","Population at Each Census 1841 to 2016","1901","1901","02","Dublin","-","Both sexes","Number","448206"
"E2001","Population at Each Census 1841 to 2016","1901","1901","02","Dublin","1","Male","Number","211786"
"E2001","Population at Each Census 1841 to 2016","1901","1901","02","Dublin","2","Female","Number","236420"
"E2001","Population at Each Census 1841 to 2016","1901","1901","03","Kildare","-","Both sexes","Number","63566"
"E2001","Population at Each Census 1841 to 2016","1901","1901","03","Kildare","1","Male","Number","34703"
"E2001","Population at Each Census 1841 to 2016","1901","1901","03","Kildare","2","Female","Number","28863"
"E2001","Population at Each Census 1841 to 2016","1901","1901","04","Kilkenny","-","Both sexes","Number","79159"
"E2001","Population at Each Census 1841 to 2016","1901","1901","04","Kilkenny","1","Male","Number","40095"
"E2001","Population at Each Census 1841 to 2016","1901","1901","04","Kilkenny","2","Female","Number","39064"
"E2001","Population at Each Census 1841 to 2016","1901","1901","05","Laois","-","Both sexes","Number","57417"
"E2001","Population at Each Census 1841 to 2016","1901","1901","05","Laois","1","Male","Number","29694"
"E2001","Population at Each Census 1841 to 2016","1901","1901","05","Laois","2","Female","Number","27723"
"E2001","Population at Each Census 1841 to 2016","1901","1901","06","Longford","-","Both sexes","Number","46672"
"E2001","Population at Each Census 1841 to 2016","1901","1901","06","Longford","1","Male","Number","23814"
"E2001","Population at Each Census 1841 to 2016","1901","1901","06","Longford","2","Female","Number","22858"
"E2001","Population at Each Census 1841 to 2016","1901","1901","07","Louth","-","Both sexes","Number","65820"
"E2001","Population at Each Census 1841 to 2016","1901","1901","07","Louth","1","Male","Number","32666"
"E2001","Population at Each Census 1841 to 2016","1901","1901","07","Louth","2","Female","Number","33154"
"E2001","Population at Each Census 1841 to 2016","1901","1901","08","Meath","-","Both sexes","Number","67497"
"E2001","Population at Each Census 1841 to 2016","1901","1901","08","Meath","1","Male","Number","34757"
"E2001","Population at Each Census 1841 to 2016","1901","1901","08","Meath","2","Female","Number","32740"
"E2001","Population at Each Census 1841 to 2016","1901","1901","09","Offaly","-","Both sexes","Number","60187"
"E2001","Population at Each Census 1841 to 2016","1901","1901","09","Offaly","1","Male","Number","31065"
"E2001","Population at Each Census 1841 to 2016","1901","1901","09","Offaly","2","Female","Number","29122"
"E2001","Population at Each Census 1841 to 2016","1901","1901","10","Westmeath","-","Both sexes","Number","61629"
"E2001","Population at Each Census 1841 to 2016","1901","1901","10","Westmeath","1","Male","Number","31880"
"E2001","Population at Each Census 1841 to 2016","1901","1901","10","Westmeath","2","Female","Number","29749"
"E2001","Population at Each Census 1841 to 2016","1901","1901","11","Wexford","-","Both sexes","Number","104104"
"E2001","Population at Each Census 1841 to 2016","1901","1901","11","Wexford","1","Male","Number","51756"
"E2001","Population at Each Census 1841 to 2016","1901","1901","11","Wexford","2","Female","Number","52348"
"E2001","Population at Each Census 1841 to 2016","1901","1901","12","Wicklow","-","Both sexes","Number","60824"
"E2001","Population at Each Census 1841 to 2016","1901","1901","12","Wicklow","1","Male","Number","30584"
"E2001","Population at Each Census 1841 to 2016","1901","1901","12","Wicklow","2","Female","Number","30240"
"E2001","Population at Each Census 1841 to 2016","1901","1901","13","Clare","-","Both sexes","Number","112334"
"E2001","Population at Each Census 1841 to 2016","1901","1901","13","Clare","1","Male","Number","57386"
"E2001","Population at Each Census 1841 to 2016","1901","1901","13","Clare","2","Female","Number","54948"
"E2001","Population at Each Census 1841 to 2016","1901","1901","14","Cork","-","Both sexes","Number","404611"
"E2001","Population at Each Census 1841 to 2016","1901","1901","14","Cork","1","Male","Number","202297"
"E2001","Population at Each Census 1841 to 2016","1901","1901","14","Cork","2","Female","Number","202314"
"E2001","Population at Each Census 1841 to 2016","1901","1901","15","Kerry","-","Both sexes","Number","165726"
"E2001","Population at Each Census 1841 to 2016","1901","1901","15","Kerry","1","Male","Number","84427"
"E2001","Population at Each Census 1841 to 2016","1901","1901","15","Kerry","2","Female","Number","81299"
"E2001","Population at Each Census 1841 to 2016","1901","1901","16","Limerick","-","Both sexes","Number","146098"
"E2001","Population at Each Census 1841 to 2016","1901","1901","16","Limerick","1","Male","Number","72456"
"E2001","Population at Each Census 1841 to 2016","1901","1901","16","Limerick","2","Female","Number","73642"
"E2001","Population at Each Census 1841 to 2016","1901","1901","17","Tipperary","-","Both sexes","Number","160232"
"E2001","Population at Each Census 1841 to 2016","1901","1901","17","Tipperary","1","Male","Number","81399"
"E2001","Population at Each Census 1841 to 2016","1901","1901","17","Tipperary","2","Female","Number","78833"
"E2001","Population at Each Census 1841 to 2016","1901","1901","18","Waterford","-","Both sexes","Number","87187"
"E2001","Population at Each Census 1841 to 2016","1901","1901","18","Waterford","1","Male","Number","43005"
"E2001","Population at Each Census 1841 to 2016","1901","1901","18","Waterford","2","Female","Number","44182"
"E2001","Population at Each Census 1841 to 2016","1901","1901","19","Galway","-","Both sexes","Number","192549"
"E2001","Population at Each Census 1841 to 2016","1901","1901","19","Galway","1","Male","Number","97923"
"E2001","Population at Each Census 1841 to 2016","1901","1901","19","Galway","2","Female","Number","94626"
"E2001","Population at Each Census 1841 to 2016","1901","1901","20","Leitrim","-","Both sexes","Number","69343"
"E2001","Population at Each Census 1841 to 2016","1901","1901","20","Leitrim","1","Male","Number","35098"
"E2001","Population at Each Census 1841 to 2016","1901","1901","20","Leitrim","2","Female","Number","34245"
"E2001","Population at Each Census 1841 to 2016","1901","1901","21","Mayo","-","Both sexes","Number","199166"
"E2001","Population at Each Census 1841 to 2016","1901","1901","21","Mayo","1","Male","Number","97564"
"E2001","Population at Each Census 1841 to 2016","1901","1901","21","Mayo","2","Female","Number","101602"
"E2001","Population at Each Census 1841 to 2016","1901","1901","22","Roscommon","-","Both sexes","Number","101791"
"E2001","Population at Each Census 1841 to 2016","1901","1901","22","Roscommon","1","Male","Number","51233"
"E2001","Population at Each Census 1841 to 2016","1901","1901","22","Roscommon","2","Female","Number","50558"
"E2001","Population at Each Census 1841 to 2016","1901","1901","23","Sligo","-","Both sexes","Number","84083"
"E2001","Population at Each Census 1841 to 2016","1901","1901","23","Sligo","1","Male","Number","41849"
"E2001","Population at Each Census 1841 to 2016","1901","1901","23","Sligo","2","Female","Number","42234"
"E2001","Population at Each Census 1841 to 2016","1901","1901","24","Cavan","-","Both sexes","Number","97541"
"E2001","Population at Each Census 1841 to 2016","1901","1901","24","Cavan","1","Male","Number","50087"
"E2001","Population at Each Census 1841 to 2016","1901","1901","24","Cavan","2","Female","Number","47454"
"E2001","Population at Each Census 1841 to 2016","1901","1901","25","Donegal","-","Both sexes","Number","173722"
"E2001","Population at Each Census 1841 to 2016","1901","1901","25","Donegal","1","Male","Number","86444"
"E2001","Population at Each Census 1841 to 2016","1901","1901","25","Donegal","2","Female","Number","87278"
"E2001","Population at Each Census 1841 to 2016","1901","1901","26","Monaghan","-","Both sexes","Number","74611"
"E2001","Population at Each Census 1841 to 2016","1901","1901","26","Monaghan","1","Male","Number","37108"
"E2001","Population at Each Census 1841 to 2016","1901","1901","26","Monaghan","2","Female","Number","37503"
"E2001","Population at Each Census 1841 to 2016","1911","1911","-","State","-","Both sexes","Number","3139688"
"E2001","Population at Each Census 1841 to 2016","1911","1911","-","State","1","Male","Number","1589509"
"E2001","Population at Each Census 1841 to 2016","1911","1911","-","State","2","Female","Number","1550179"
"E2001","Population at Each Census 1841 to 2016","1911","1911","01","Carlow","-","Both sexes","Number","36252"
"E2001","Population at Each Census 1841 to 2016","1911","1911","01","Carlow","1","Male","Number","18481"
"E2001","Population at Each Census 1841 to 2016","1911","1911","01","Carlow","2","Female","Number","17771"
"E2001","Population at Each Census 1841 to 2016","1911","1911","02","Dublin","-","Both sexes","Number","477196"
"E2001","Population at Each Census 1841 to 2016","1911","1911","02","Dublin","1","Male","Number","226364"
"E2001","Population at Each Census 1841 to 2016","1911","1911","02","Dublin","2","Female","Number","250832"
"E2001","Population at Each Census 1841 to 2016","1911","1911","03","Kildare","-","Both sexes","Number","66627"
"E2001","Population at Each Census 1841 to 2016","1911","1911","03","Kildare","1","Male","Number","37684"
"E2001","Population at Each Census 1841 to 2016","1911","1911","03","Kildare","2","Female","Number","28943"
"E2001","Population at Each Census 1841 to 2016","1911","1911","04","Kilkenny","-","Both sexes","Number","74962"
"E2001","Population at Each Census 1841 to 2016","1911","1911","04","Kilkenny","1","Male","Number","38551"
"E2001","Population at Each Census 1841 to 2016","1911","1911","04","Kilkenny","2","Female","Number","36411"
"E2001","Population at Each Census 1841 to 2016","1911","1911","05","Laois","-","Both sexes","Number","54629"
"E2001","Population at Each Census 1841 to 2016","1911","1911","05","Laois","1","Male","Number","28711"
"E2001","Population at Each Census 1841 to 2016","1911","1911","05","Laois","2","Female","Number","25918"
"E2001","Population at Each Census 1841 to 2016","1911","1911","06","Longford","-","Both sexes","Number","43820"
"E2001","Population at Each Census 1841 to 2016","1911","1911","06","Longford","1","Male","Number","22656"
"E2001","Population at Each Census 1841 to 2016","1911","1911","06","Longford","2","Female","Number","21164"
"E2001","Population at Each Census 1841 to 2016","1911","1911","07","Louth","-","Both sexes","Number","63665"
"E2001","Population at Each Census 1841 to 2016","1911","1911","07","Louth","1","Male","Number","32191"
"E2001","Population at Each Census 1841 to 2016","1911","1911","07","Louth","2","Female","Number","31474"
"E2001","Population at Each Census 1841 to 2016","1911","1911","08","Meath","-","Both sexes","Number","65091"
"E2001","Population at Each Census 1841 to 2016","1911","1911","08","Meath","1","Male","Number","33934"
"E2001","Population at Each Census 1841 to 2016","1911","1911","08","Meath","2","Female","Number","31157"
"E2001","Population at Each Census 1841 to 2016","1911","1911","09","Offaly","-","Both sexes","Number","56832"
"E2001","Population at Each Census 1841 to 2016","1911","1911","09","Offaly","1","Male","Number","29804"
"E2001","Population at Each Census 1841 to 2016","1911","1911","09","Offaly","2","Female","Number","27028"
"E2001","Population at Each Census 1841 to 2016","1911","1911","10","Westmeath","-","Both sexes","Number","59986"
"E2001","Population at Each Census 1841 to 2016","1911","1911","10","Westmeath","1","Male","Number","31910"
"E2001","Population at Each Census 1841 to 2016","1911","1911","10","Westmeath","2","Female","Number","28076"
"E2001","Population at Each Census 1841 to 2016","1911","1911","11","Wexford","-","Both sexes","Number","102273"
"E2001","Population at Each Census 1841 to 2016","1911","1911","11","Wexford","1","Male","Number","51568"
"E2001","Population at Each Census 1841 to 2016","1911","1911","11","Wexford","2","Female","Number","50705"
"E2001","Population at Each Census 1841 to 2016","1911","1911","12","Wicklow","-","Both sexes","Number","60711"
"E2001","Population at Each Census 1841 to 2016","1911","1911","12","Wicklow","1","Male","Number","31113"
"E2001","Population at Each Census 1841 to 2016","1911","1911","12","Wicklow","2","Female","Number","29598"
"E2001","Population at Each Census 1841 to 2016","1911","1911","13","Clare","-","Both sexes","Number","104232"
"E2001","Population at Each Census 1841 to 2016","1911","1911","13","Clare","1","Male","Number","53877"
"E2001","Population at Each Census 1841 to 2016","1911","1911","13","Clare","2","Female","Number","50355"
"E2001","Population at Each Census 1841 to 2016","1911","1911","14","Cork","-","Both sexes","Number","392104"
"E2001","Population at Each Census 1841 to 2016","1911","1911","14","Cork","1","Male","Number","197516"
"E2001","Population at Each Census 1841 to 2016","1911","1911","14","Cork","2","Female","Number","194588"
"E2001","Population at Each Census 1841 to 2016","1911","1911","15","Kerry","-","Both sexes","Number","159691"
"E2001","Population at Each Census 1841 to 2016","1911","1911","15","Kerry","1","Male","Number","81474"
"E2001","Population at Each Census 1841 to 2016","1911","1911","15","Kerry","2","Female","Number","78217"
"E2001","Population at Each Census 1841 to 2016","1911","1911","16","Limerick","-","Both sexes","Number","143069"
"E2001","Population at Each Census 1841 to 2016","1911","1911","16","Limerick","1","Male","Number","72229"
"E2001","Population at Each Census 1841 to 2016","1911","1911","16","Limerick","2","Female","Number","70840"
"E2001","Population at Each Census 1841 to 2016","1911","1911","17","Tipperary","-","Both sexes","Number","152433"
"E2001","Population at Each Census 1841 to 2016","1911","1911","17","Tipperary","1","Male","Number","78584"
"E2001","Population at Each Census 1841 to 2016","1911","1911","17","Tipperary","2","Female","Number","73849"
"E2001","Population at Each Census 1841 to 2016","1911","1911","18","Waterford","-","Both sexes","Number","83966"
"E2001","Population at Each Census 1841 to 2016","1911","1911","18","Waterford","1","Male","Number","42450"
"E2001","Population at Each Census 1841 to 2016","1911","1911","18","Waterford","2","Female","Number","41516"
"E2001","Population at Each Census 1841 to 2016","1911","1911","19","Galway","-","Both sexes","Number","182224"
"E2001","Population at Each Census 1841 to 2016","1911","1911","19","Galway","1","Male","Number","94403"
"E2001","Population at Each Census 1841 to 2016","1911","1911","19","Galway","2","Female","Number","87821"
"E2001","Population at Each Census 1841 to 2016","1911","1911","20","Leitrim","-","Both sexes","Number","63582"
"E2001","Population at Each Census 1841 to 2016","1911","1911","20","Leitrim","1","Male","Number","32759"
"E2001","Population at Each Census 1841 to 2016","1911","1911","20","Leitrim","2","Female","Number","30823"
"E2001","Population at Each Census 1841 to 2016","1911","1911","21","Mayo","-","Both sexes","Number","192177"
"E2001","Population at Each Census 1841 to 2016","1911","1911","21","Mayo","1","Male","Number","96345"
"E2001","Population at Each Census 1841 to 2016","1911","1911","21","Mayo","2","Female","Number","95832"
"E2001","Population at Each Census 1841 to 2016","1911","1911","22","Roscommon","-","Both sexes","Number","93956"
"E2001","Population at Each Census 1841 to 2016","1911","1911","22","Roscommon","1","Male","Number","48522"
"E2001","Population at Each Census 1841 to 2016","1911","1911","22","Roscommon","2","Female","Number","45434"
"E2001","Population at Each Census 1841 to 2016","1911","1911","23","Sligo","-","Both sexes","Number","79045"
"E2001","Population at Each Census 1841 to 2016","1911","1911","23","Sligo","1","Male","Number","40060"
"E2001","Population at Each Census 1841 to 2016","1911","1911","23","Sligo","2","Female","Number","38985"
"E2001","Population at Each Census 1841 to 2016","1911","1911","24","Cavan","-","Both sexes","Number","91173"
"E2001","Population at Each Census 1841 to 2016","1911","1911","24","Cavan","1","Male","Number","47743"
"E2001","Population at Each Census 1841 to 2016","1911","1911","24","Cavan","2","Female","Number","43430"
"E2001","Population at Each Census 1841 to 2016","1911","1911","25","Donegal","-","Both sexes","Number","168537"
"E2001","Population at Each Census 1841 to 2016","1911","1911","25","Donegal","1","Male","Number","84627"
"E2001","Population at Each Census 1841 to 2016","1911","1911","25","Donegal","2","Female","Number","83910"
"E2001","Population at Each Census 1841 to 2016","1911","1911","26","Monaghan","-","Both sexes","Number","71455"
"E2001","Population at Each Census 1841 to 2016","1911","1911","26","Monaghan","1","Male","Number","35953"
"E2001","Population at Each Census 1841 to 2016","1911","1911","26","Monaghan","2","Female","Number","35502"
"E2001","Population at Each Census 1841 to 2016","1926","1926","-","State","-","Both sexes","Number","2971992"
"E2001","Population at Each Census 1841 to 2016","1926","1926","-","State","1","Male","Number","1506889"
"E2001","Population at Each Census 1841 to 2016","1926","1926","-","State","2","Female","Number","1465103"
"E2001","Population at Each Census 1841 to 2016","1926","1926","01","Carlow","-","Both sexes","Number","34476"
"E2001","Population at Each Census 1841 to 2016","1926","1926","01","Carlow","1","Male","Number","17802"
"E2001","Population at Each Census 1841 to 2016","1926","1926","01","Carlow","2","Female","Number","16674"
"E2001","Population at Each Census 1841 to 2016","1926","1926","02","Dublin","-","Both sexes","Number","505654"
"E2001","Population at Each Census 1841 to 2016","1926","1926","02","Dublin","1","Male","Number","238995"
"E2001","Population at Each Census 1841 to 2016","1926","1926","02","Dublin","2","Female","Number","266659"
"E2001","Population at Each Census 1841 to 2016","1926","1926","03","Kildare","-","Both sexes","Number","58028"
"E2001","Population at Each Census 1841 to 2016","1926","1926","03","Kildare","1","Male","Number","31987"
"E2001","Population at Each Census 1841 to 2016","1926","1926","03","Kildare","2","Female","Number","26041"
"E2001","Population at Each Census 1841 to 2016","1926","1926","04","Kilkenny","-","Both sexes","Number","70990"
"E2001","Population at Each Census 1841 to 2016","1926","1926","04","Kilkenny","1","Male","Number","37084"
"E2001","Population at Each Census 1841 to 2016","1926","1926","04","Kilkenny","2","Female","Number","33906"
"E2001","Population at Each Census 1841 to 2016","1926","1926","05","Laois","-","Both sexes","Number","51540"
"E2001","Population at Each Census 1841 to 2016","1926","1926","05","Laois","1","Male","Number","27198"
"E2001","Population at Each Census 1841 to 2016","1926","1926","05","Laois","2","Female","Number","24342"
"E2001","Population at Each Census 1841 to 2016","1926","1926","06","Longford","-","Both sexes","Number","39847"
"E2001","Population at Each Census 1841 to 2016","1926","1926","06","Longford","1","Male","Number","20805"
"E2001","Population at Each Census 1841 to 2016","1926","1926","06","Longford","2","Female","Number","19042"
"E2001","Population at Each Census 1841 to 2016","1926","1926","07","Louth","-","Both sexes","Number","62739"
"E2001","Population at Each Census 1841 to 2016","1926","1926","07","Louth","1","Male","Number","31749"
"E2001","Population at Each Census 1841 to 2016","1926","1926","07","Louth","2","Female","Number","30990"
"E2001","Population at Each Census 1841 to 2016","1926","1926","08","Meath","-","Both sexes","Number","62969"
"E2001","Population at Each Census 1841 to 2016","1926","1926","08","Meath","1","Male","Number","33082"
"E2001","Population at Each Census 1841 to 2016","1926","1926","08","Meath","2","Female","Number","29887"
"E2001","Population at Each Census 1841 to 2016","1926","1926","09","Offaly","-","Both sexes","Number","52592"
"E2001","Population at Each Census 1841 to 2016","1926","1926","09","Offaly","1","Male","Number","27566"
"E2001","Population at Each Census 1841 to 2016","1926","1926","09","Offaly","2","Female","Number","25026"
"E2001","Population at Each Census 1841 to 2016","1926","1926","10","Westmeath","-","Both sexes","Number","56818"
"E2001","Population at Each Census 1841 to 2016","1926","1926","10","Westmeath","1","Male","Number","30151"
"E2001","Population at Each Census 1841 to 2016","1926","1926","10","Westmeath","2","Female","Number","26667"
"E2001","Population at Each Census 1841 to 2016","1926","1926","11","Wexford","-","Both sexes","Number","95848"
"E2001","Population at Each Census 1841 to 2016","1926","1926","11","Wexford","1","Male","Number","48570"
"E2001","Population at Each Census 1841 to 2016","1926","1926","11","Wexford","2","Female","Number","47278"
"E2001","Population at Each Census 1841 to 2016","1926","1926","12","Wicklow","-","Both sexes","Number","57591"
"E2001","Population at Each Census 1841 to 2016","1926","1926","12","Wicklow","1","Male","Number","28911"
"E2001","Population at Each Census 1841 to 2016","1926","1926","12","Wicklow","2","Female","Number","28680"
"E2001","Population at Each Census 1841 to 2016","1926","1926","13","Clare","-","Both sexes","Number","95064"
"E2001","Population at Each Census 1841 to 2016","1926","1926","13","Clare","1","Male","Number","50071"
"E2001","Population at Each Census 1841 to 2016","1926","1926","13","Clare","2","Female","Number","44993"
"E2001","Population at Each Census 1841 to 2016","1926","1926","14","Cork","-","Both sexes","Number","365747"
"E2001","Population at Each Census 1841 to 2016","1926","1926","14","Cork","1","Male","Number","183192"
"E2001","Population at Each Census 1841 to 2016","1926","1926","14","Cork","2","Female","Number","182555"
"E2001","Population at Each Census 1841 to 2016","1926","1926","15","Kerry","-","Both sexes","Number","149171"
"E2001","Population at Each Census 1841 to 2016","1926","1926","15","Kerry","1","Male","Number","76863"
"E2001","Population at Each Census 1841 to 2016","1926","1926","15","Kerry","2","Female","Number","72308"
"E2001","Population at Each Census 1841 to 2016","1926","1926","16","Limerick","-","Both sexes","Number","140343"
"E2001","Population at Each Census 1841 to 2016","1926","1926","16","Limerick","1","Male","Number","71172"
"E2001","Population at Each Census 1841 to 2016","1926","1926","16","Limerick","2","Female","Number","69171"
"E2001","Population at Each Census 1841 to 2016","1926","1926","17","Tipperary","-","Both sexes","Number","141015"
"E2001","Population at Each Census 1841 to 2016","1926","1926","17","Tipperary","1","Male","Number","72904"
"E2001","Population at Each Census 1841 to 2016","1926","1926","17","Tipperary","2","Female","Number","68111"
"E2001","Population at Each Census 1841 to 2016","1926","1926","18","Waterford","-","Both sexes","Number","78562"
"E2001","Population at Each Census 1841 to 2016","1926","1926","18","Waterford","1","Male","Number","39426"
"E2001","Population at Each Census 1841 to 2016","1926","1926","18","Waterford","2","Female","Number","39136"
"E2001","Population at Each Census 1841 to 2016","1926","1926","19","Galway","-","Both sexes","Number","169366"
"E2001","Population at Each Census 1841 to 2016","1926","1926","19","Galway","1","Male","Number","88481"
"E2001","Population at Each Census 1841 to 2016","1926","1926","19","Galway","2","Female","Number","80885"
"E2001","Population at Each Census 1841 to 2016","1926","1926","20","Leitrim","-","Both sexes","Number","55907"
